nominal_coverage,dgp,functional,n,B,coverage,length,coverage_sd,length_sd,failed,method
0.95,DGPBiNorm-1_1_2.0_0.5_1.0,corr,4,10,0.9495,1.85067383579392,0.218985263099016,2.05074186993767e-16,0,exact
0.95,DGPBeta_1_1,mean,4,10,0.9543,0.562333285747239,0.208844132278498,9.57289342628096e-17,0,exact
0.95,DGPBeta_10_2,mean,4,10,0.9523,0.202495801017839,0.21314139186299,7.71304036897871e-17,0,exact
0.95,DGPExp_1,mean,4,10,0.9453,1.90461971647365,0.227405103962358,1.4734529887058e-16,0,exact
0.95,DGPLaplace_0_1,mean,4,10,0.9512,2.84742962335971,0.215460442588035,2.70470780087067e-16,0,exact
0.95,DGPLogNorm_0_1,mean,4,10,0.9499,3.89039512427725,0.218162209089813,3.64333804656604e-16,0,exact
0.95,DGPNorm_0_1,mean,4,10,0.9468,1.95516252825222,0.224443305713822,1.74253609781106e-16,0,exact
0.95,DGPBeta_1_1,median,4,10,0.9453,0.688459518162109,0.227405103962358,1.02753264699929e-16,0,exact
0.95,DGPBeta_10_2,median,4,10,0.9532,0.218819025010678,0.211220788328569,9.11984171429997e-17,0,exact
0.95,DGPExp_1,median,4,10,0.949,1.85267710397769,0.220008727972411,1.87528641944055e-16,0,exact
0.95,DGPLaplace_0_1,median,4,10,0.9476,2.66615957578923,0.222843456086536,2.64758949157536e-16,0,exact
0.95,DGPLogNorm_0_1,median,4,10,0.9466,2.81108143426685,0.224841044628277,2.55740316246299e-16,0,exact
0.95,DGPNorm_0_1,median,4,10,0.953,2.15952672201993,0.21164942605156,2.54387081097796e-16,0,exact
0.95,DGPBeta_1_1,Q(0.05),4,10,0.9525,0.597514796247802,0.212716418800907,6.78361107561945e-17,0,exact
0.95,DGPBeta_10_2,Q(0.05),4,10,0.9506,0.373899971018825,0.216712566395314,5.50232358139139e-17,0,exact
0.95,DGPExp_1,Q(0.05),4,10,0.9475,0.913855120735485,0.223044221786818,6.15979492092227e-17,0,exact
0.95,DGPLaplace_0_1,Q(0.05),4,10,0.9481,4.61911948721105,0.221836225921541,4.56377154324191e-16,0,exact
0.95,DGPLogNorm_0_1,Q(0.05),4,10,0.9517,1.22726909535974,0.214410137751733,1.0301087466502e-16,0,exact
0.95,DGPNorm_0_1,Q(0.05),4,10,0.9508,2.75318784683282,0.216296182129598,3.05985997506701e-16,0,exact
0.95,DGPBeta_1_1,Q(0.95),4,10,0.9479,0.594819940293956,0.222239800784885,1.23909273759117e-16,0,exact
0.95,DGPBeta_10_2,Q(0.95),4,10,0.9499,0.164871394920973,0.218162209089813,1.21239162954313e-16,0,exact
0.95,DGPExp_1,Q(0.95),4,10,0.9555,4.57105796720943,0.206213487435328,5.77686363922496e-16,0,exact
0.95,DGPLaplace_0_1,Q(0.95),4,10,0.9514,4.58596618672779,0.2150410757656,2.73912714024027e-16,0,exact
0.95,DGPLogNorm_0_1,Q(0.95),4,10,0.9452,11.20827224951,0.227600835266528,1.13997440201251e-15,0,exact
0.95,DGPNorm_0_1,Q(0.95),4,10,0.9521,2.7560356714273,0.213565331959805,3.3076612077749e-16,0,exact
0.95,DGPBeta_1_1,std,4,10,0.951,0.301406862338377,0.215878809441864,5.37224537681752e-17,0,exact
0.95,DGPBeta_10_2,std,4,10,0.9508,0.146395824525325,0.216296182129598,7.13893776410388e-17,0,exact
0.95,DGPExp_1,std,4,10,0.9507,1.79193720394219,0.216504497458464,1.51438085658866e-16,0,exact
0.95,DGPLaplace_0_1,std,4,10,0.9474,2.26319907736558,0.223244762138739,2.80212836100477e-16,0,exact
0.95,DGPLogNorm_0_1,std,4,10,0.9537,4.58122051748773,0.210144536147403,5.95573113665097e-16,0,exact
0.95,DGPNorm_0_1,std,4,10,0.9492,1.29617783201355,0.21960005104335,1.89490428811411e-16,0,exact
0.95,DGPBiNorm-1_1_2.0_0.5_1.0,corr,8,10,0.949,1.29911340250133,0.220008727972411,1.5543899559161e-16,0,exact
0.95,DGPBeta_1_1,mean,8,10,0.9512,0.397656280304282,0.215460442588035,6.14702382191559e-17,0,exact
0.95,DGPBeta_10_2,mean,8,10,0.9541,0.142010211686192,0.209278689208853,5.98624464433503e-17,0,exact
0.95,DGPExp_1,mean,8,10,0.9506,1.36835279555522,0.216712566395314,2.00883724400778e-16,0,exact
0.95,DGPLaplace_0_1,mean,8,10,0.9501,1.99158396189138,0.21774923989109,1.73970408537906e-16,0,exact
0.95,DGPLogNorm_0_1,mean,8,10,0.9499,2.84591332171615,0.218162209089813,2.27972387083088e-16,0,exact
0.95,DGPNorm_0_1,mean,8,10,0.9512,1.38778674174853,0.215460442588035,1.02434854075029e-16,0,exact
0.95,DGPBeta_1_1,median,8,10,0.9474,0.570080386703034,0.223244762138739,9.20326484215452e-17,0,exact
0.95,DGPBeta_10_2,median,8,10,0.9513,0.165343010409711,0.215250884537856,7.28988969647691e-17,0,exact
0.95,DGPExp_1,median,8,10,0.9495,1.33841522793841,0.218985263099016,1.15340787946094e-16,0,exact
0.95,DGPLaplace_0_1,median,8,10,0.9497,1.77169814711214,0.218574215013452,1.10426675995429e-16,0,exact
0.95,DGPLogNorm_0_1,median,8,10,0.9508,1.8289117525366,0.216296182129598,1.54532267009396e-16,0,exact
0.95,DGPNorm_0_1,median,8,10,0.9503,1.61093447170159,0.217335301926186,1.54276788815243e-16,0,exact
0.95,DGPBeta_1_1,Q(0.05),8,10,0.9507,0.366236687605819,0.216504497458464,5.86270174908985e-17,0,exact
