method,alpha,coverage,dgp,statistic,n,B,repetitions
percentile,0.025,0.1184,DGPNorm_0_1,mean,8,10,10000
basic,0.025,0.1187,DGPNorm_0_1,mean,8,10,10000
bca,0.025,0.1382,DGPNorm_0_1,mean,8,10,10000
bc,0.025,0.1367,DGPNorm_0_1,mean,8,10,10000
standard,0.025,0.076,DGPNorm_0_1,mean,8,10,10000
smoothed,0.025,0.1175,DGPNorm_0_1,mean,8,10,10000
double,0.025,0.141,DGPNorm_0_1,mean,8,10,10000
studentized,0.025,0.0905,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.025,0.0284,DGPNorm_0_1,mean,8,10,10000
ttest,0.025,0.0313,DGPNorm_0_1,mean,8,10,10000
percentile,0.05,0.1184,DGPNorm_0_1,mean,8,10,10000
basic,0.05,0.1187,DGPNorm_0_1,mean,8,10,10000
bca,0.05,0.154,DGPNorm_0_1,mean,8,10,10000
bc,0.05,0.154,DGPNorm_0_1,mean,8,10,10000
standard,0.05,0.1099,DGPNorm_0_1,mean,8,10,10000
smoothed,0.05,0.1175,DGPNorm_0_1,mean,8,10,10000
double,0.05,0.141,DGPNorm_0_1,mean,8,10,10000
studentized,0.05,0.0905,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.05,0.0528,DGPNorm_0_1,mean,8,10,10000
ttest,0.05,0.0595,DGPNorm_0_1,mean,8,10,10000
percentile,0.25,0.2806,DGPNorm_0_1,mean,8,10,10000
basic,0.25,0.281,DGPNorm_0_1,mean,8,10,10000
bca,0.25,0.2899,DGPNorm_0_1,mean,8,10,10000
bc,0.25,0.2906,DGPNorm_0_1,mean,8,10,10000
standard,0.25,0.2898,DGPNorm_0_1,mean,8,10,10000
smoothed,0.25,0.2801,DGPNorm_0_1,mean,8,10,10000
double,0.25,0.2602,DGPNorm_0_1,mean,8,10,10000
studentized,0.25,0.2543,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.25,0.2779,DGPNorm_0_1,mean,8,10,10000
ttest,0.25,0.262,DGPNorm_0_1,mean,8,10,10000
percentile,0.75,0.7164,DGPNorm_0_1,mean,8,10,10000
basic,0.75,0.7214,DGPNorm_0_1,mean,8,10,10000
bca,0.75,0.7093,DGPNorm_0_1,mean,8,10,10000
bc,0.75,0.7101,DGPNorm_0_1,mean,8,10,10000
standard,0.75,0.7112,DGPNorm_0_1,mean,8,10,10000
smoothed,0.75,0.7173,DGPNorm_0_1,mean,8,10,10000
double,0.75,0.7419,DGPNorm_0_1,mean,8,10,10000
studentized,0.75,0.7479,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.75,0.7722,DGPNorm_0_1,mean,8,10,10000
ttest,0.75,0.7384,DGPNorm_0_1,mean,8,10,10000
percentile,0.95,0.8807,DGPNorm_0_1,mean,8,10,10000
basic,0.95,0.8821,DGPNorm_0_1,mean,8,10,10000
bca,0.95,0.8439,DGPNorm_0_1,mean,8,10,10000
bc,0.95,0.8437,DGPNorm_0_1,mean,8,10,10000
standard,0.95,0.8901,DGPNorm_0_1,mean,8,10,10000
smoothed,0.95,0.88,DGPNorm_0_1,mean,8,10,10000
double,0.95,0.8612,DGPNorm_0_1,mean,8,10,10000
studentized,0.95,0.904,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.95,0.9608,DGPNorm_0_1,mean,8,10,10000
ttest,0.95,0.9406,DGPNorm_0_1,mean,8,10,10000
percentile,0.975,0.8807,DGPNorm_0_1,mean,8,10,10000
basic,0.975,0.8821,DGPNorm_0_1,mean,8,10,10000
bca,0.975,0.8579,DGPNorm_0_1,mean,8,10,10000
bc,0.975,0.8579,DGPNorm_0_1,mean,8,10,10000
standard,0.975,0.9213,DGPNorm_0_1,mean,8,10,10000
smoothed,0.975,0.88,DGPNorm_0_1,mean,8,10,10000
double,0.975,0.8612,DGPNorm_0_1,mean,8,10,10000
studentized,0.975,0.904,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.975,0.9815,DGPNorm_0_1,mean,8,10,10000
ttest,0.975,0.9689,DGPNorm_0_1,mean,8,10,10000
percentile,0.025,0.1614,DGPNorm_0_1,mean,4,10,10000
basic,0.025,0.1607,DGPNorm_0_1,mean,4,10,10000
bca,0.025,0.1714,DGPNorm_0_1,mean,4,10,10000
bc,0.025,0.171,DGPNorm_0_1,mean,4,10,10000
standard,0.025,0.1181,DGPNorm_0_1,mean,4,10,10000
smoothed,0.025,0.1515,DGPNorm_0_1,mean,4,10,10000
double,0.025,0.1728,DGPNorm_0_1,mean,4,10,10000
studentized,0.025,0.0954,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.025,0.0642,DGPNorm_0_1,mean,4,10,10000
ttest,0.025,0.0369,DGPNorm_0_1,mean,4,10,10000
percentile,0.05,0.1614,DGPNorm_0_1,mean,4,10,10000
basic,0.05,0.1607,DGPNorm_0_1,mean,4,10,10000
bca,0.05,0.1839,DGPNorm_0_1,mean,4,10,10000
bc,0.05,0.1836,DGPNorm_0_1,mean,4,10,10000
standard,0.05,0.1476,DGPNorm_0_1,mean,4,10,10000
smoothed,0.05,0.1515,DGPNorm_0_1,mean,4,10,10000
double,0.05,0.1728,DGPNorm_0_1,mean,4,10,10000
studentized,0.05,0.0954,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.05,0.0642,DGPNorm_0_1,mean,4,10,10000
ttest,0.05,0.0694,DGPNorm_0_1,mean,4,10,10000
percentile,0.25,0.3075,DGPNorm_0_1,mean,4,10,10000
basic,0.25,0.3088,DGPNorm_0_1,mean,4,10,10000
bca,0.25,0.2861,DGPNorm_0_1,mean,4,10,10000
bc,0.25,0.2864,DGPNorm_0_1,mean,4,10,10000
standard,0.25,0.3138,DGPNorm_0_1,mean,4,10,10000
smoothed,0.25,0.2999,DGPNorm_0_1,mean,4,10,10000
double,0.25,0.2704,DGPNorm_0_1,mean,4,10,10000
studentized,0.25,0.2646,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.25,0.3101,DGPNorm_0_1,mean,4,10,10000
ttest,0.25,0.2771,DGPNorm_0_1,mean,4,10,10000
percentile,0.75,0.7009,DGPNorm_0_1,mean,4,10,10000
basic,0.75,0.6997,DGPNorm_0_1,mean,4,10,10000
bca,0.75,0.6539,DGPNorm_0_1,mean,4,10,10000
bc,0.75,0.6529,DGPNorm_0_1,mean,4,10,10000
standard,0.75,0.6944,DGPNorm_0_1,mean,4,10,10000
smoothed,0.75,0.7059,DGPNorm_0_1,mean,4,10,10000
double,0.75,0.7249,DGPNorm_0_1,mean,4,10,10000
studentized,0.75,0.7415,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.75,0.8189,DGPNorm_0_1,mean,4,10,10000
ttest,0.75,0.7338,DGPNorm_0_1,mean,4,10,10000
percentile,0.95,0.8418,DGPNorm_0_1,mean,4,10,10000
basic,0.95,0.8451,DGPNorm_0_1,mean,4,10,10000
bca,0.95,0.7936,DGPNorm_0_1,mean,4,10,10000
bc,0.95,0.7949,DGPNorm_0_1,mean,4,10,10000
standard,0.95,0.8582,DGPNorm_0_1,mean,4,10,10000
smoothed,0.95,0.8535,DGPNorm_0_1,mean,4,10,10000
double,0.95,0.8273,DGPNorm_0_1,mean,4,10,10000
studentized,0.95,0.9094,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.95,0.9401,DGPNorm_0_1,mean,4,10,10000
ttest,0.95,0.9352,DGPNorm_0_1,mean,4,10,10000
percentile,0.975,0.8418,DGPNorm_0_1,mean,4,10,10000
basic,0.975,0.8451,DGPNorm_0_1,mean,4,10,10000
bca,0.975,0.8133,DGPNorm_0_1,mean,4,10,10000
bc,0.975,0.8145,DGPNorm_0_1,mean,4,10,10000
standard,0.975,0.8868,DGPNorm_0_1,mean,4,10,10000
smoothed,0.975,0.8535,DGPNorm_0_1,mean,4,10,10000
double,0.975,0.8273,DGPNorm_0_1,mean,4,10,10000
studentized,0.975,0.9094,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.975,0.9401,DGPNorm_0_1,mean,4,10,10000
ttest,0.975,0.9659,DGPNorm_0_1,mean,4,10,10000
percentile,0.025,0.1069,DGPNorm_0_1,mean,16,10,10000
basic,0.025,0.1002,DGPNorm_0_1,mean,16,10,10000
bca,0.025,0.1271,DGPNorm_0_1,mean,16,10,10000
bc,0.025,0.1271,DGPNorm_0_1,mean,16,10,10000
standard,0.025,0.0584,DGPNorm_0_1,mean,16,10,10000
smoothed,0.025,0.1045,DGPNorm_0_1,mean,16,10,10000
double,0.025,0.1312,DGPNorm_0_1,mean,16,10,10000
studentized,0.025,0.0976,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.025,0.0238,DGPNorm_0_1,mean,16,10,10000
ttest,0.025,0.0271,DGPNorm_0_1,mean,16,10,10000
percentile,0.05,0.1069,DGPNorm_0_1,mean,16,10,10000
basic,0.05,0.1002,DGPNorm_0_1,mean,16,10,10000
bca,0.05,0.1432,DGPNorm_0_1,mean,16,10,10000
bc,0.05,0.1427,DGPNorm_0_1,mean,16,10,10000
standard,0.05,0.0923,DGPNorm_0_1,mean,16,10,10000
smoothed,0.05,0.1045,DGPNorm_0_1,mean,16,10,10000
double,0.05,0.1312,DGPNorm_0_1,mean,16,10,10000
studentized,0.05,0.0976,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.05,0.0508,DGPNorm_0_1,mean,16,10,10000
ttest,0.05,0.0533,DGPNorm_0_1,mean,16,10,10000
percentile,0.25,0.2733,DGPNorm_0_1,mean,16,10,10000
basic,0.25,0.2697,DGPNorm_0_1,mean,16,10,10000
bca,0.25,0.2795,DGPNorm_0_1,mean,16,10,10000
bc,0.25,0.2803,DGPNorm_0_1,mean,16,10,10000
standard,0.25,0.2766,DGPNorm_0_1,mean,16,10,10000
smoothed,0.25,0.274,DGPNorm_0_1,mean,16,10,10000
double,0.25,0.2577,DGPNorm_0_1,mean,16,10,10000
studentized,0.25,0.258,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.25,0.2582,DGPNorm_0_1,mean,16,10,10000
ttest,0.25,0.2511,DGPNorm_0_1,mean,16,10,10000
percentile,0.75,0.7227,DGPNorm_0_1,mean,16,10,10000
basic,0.75,0.7194,DGPNorm_0_1,mean,16,10,10000
bca,0.75,0.7077,DGPNorm_0_1,mean,16,10,10000
bc,0.75,0.7078,DGPNorm_0_1,mean,16,10,10000
standard,0.75,0.7174,DGPNorm_0_1,mean,16,10,10000
smoothed,0.75,0.7233,DGPNorm_0_1,mean,16,10,10000
double,0.75,0.7383,DGPNorm_0_1,mean,16,10,10000
studentized,0.75,0.735,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.75,0.7495,DGPNorm_0_1,mean,16,10,10000
ttest,0.75,0.7389,DGPNorm_0_1,mean,16,10,10000
percentile,0.95,0.8949,DGPNorm_0_1,mean,16,10,10000
basic,0.95,0.8927,DGPNorm_0_1,mean,16,10,10000
bca,0.95,0.8525,DGPNorm_0_1,mean,16,10,10000
bc,0.95,0.8537,DGPNorm_0_1,mean,16,10,10000
standard,0.95,0.9057,DGPNorm_0_1,mean,16,10,10000
