alpha,dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.9218773921139984,-0.3484669038076216,,,,,,-2.87711447244858
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.010898250853198288,-0.05702052553770742,,,,,,-0.7318719102530782
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.30041644923103206,-0.08634290032948322,,,,,,0.11155690369140892
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.401241343946724,0.6095306000500171,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.13780199750910804,0.23738904169169223,,,,,,0.49050167266184896
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.9602267190686797,-0.17734233103310726,,,,,,-0.4349975899007785
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.20189847933951177,0.46957395605887453,,,,,,0.5927997760993142
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.14279854728433072,-0.212594812590172,,,,,,-1.542967927950897
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.6661037025870005,-0.2421048600089286,,,,,,0.32114257077462227
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.021887265127640054,0.5269628774394676,,,,,,0.6230094523008735
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.685598406165459,0.1790998563200612,,,,,,0.14140253363682787
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.7461250659282248,-0.7214087155551998,,,,,,-0.8780003796454054
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.2935002672370638,0.3633951038212365,,,,,,-0.839234529667428
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.2132722377104329,0.35299858826215147,,,,,,-0.17233421660034465
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.3489634679978888,-0.12195974178865576,,,,,,-0.4419238759841697
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.039004739574775016,-0.05376078749834129,,,,,,-1.2828646687344831
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.1713288357999192,0.2855076197435984,,,,,,0.6455031251435034
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.45189949767320026,0.19851345533133435,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.9201668559552075,-0.7820516447214408,,,,,,0.4981023947506006
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.4705399360524227,-0.0859418560271814,,,,,,-0.15713830939656814
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.7950664797442576,-0.07148630779531273,,,,,,0.7858266526740842
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.05336649763895163,0.3308011584528013,,,,,,0.3282680257013467
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.8888245328003173,-0.23766823760685896,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.10550742432127436,0.5260333240883657,,,,,,0.06411742267559684
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.869763205583959,0.043649747840995845,,,,,,-0.008339608858067393
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.12282955405499396,-0.2017429199710704,,,,,,-1.958847376630541
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.006293895882181766,0.36672347760787705,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.487911214531947,0.7275117502664735,,,,,,0.7724281099030751
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.8676863089119967,-0.3342007328767095,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.276237001563143,-0.3406224014169783,,,,,,-7.448986358020874
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.44276722364960386,0.49208250346288285,,,,,,0.00335960109268596
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5882923540546308,-0.2799011537260845,,,,,,-0.12466948286951474
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7955670219004446,0.825098429123149,,,,,,0.830533476513976
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.898539113929953,-0.24222381785426972,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.16596944557865045,-0.1676495854971336,,,,,,0.01370877292726691
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5584538306400173,-0.690045883116396,,,,,,-10.287780207259043
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.6132778996392512,-1.443315512443215,,,,,,-9.596660281316803
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.3406299871443661,-0.1946755915388303,,,,,,0.5882933772292979
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.7860715543608963,0.005038960477492804,,,,,,-0.20389116522815365
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.11853117558345017,0.43685113027841327,,,,,,0.5281263144502655
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5549211915369106,-0.11638811690159945,,,,,,-0.8874500146212099
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.2249234193472167,0.2860409573400793,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.3349960862597594,0.11144136294583595,,,,,,-0.4945187192506366
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.32457872116000197,0.5660832161452153,,,,,,0.764600821273208
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.28915706875423386,0.30573949228617264,,,,,,-2.187726627806785
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.8238975435760391,-0.3549924844378741,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.45705170472930456,-0.22806401220217265,,,,,,-0.2231065152968701
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.4195040112173649,0.23896186765075234,,,,,,0.7424351946887707
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.9708672022235341,-0.3027427761077177,,,,,,-0.3309021933765588
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.5803085727269728,0.6638353468793521,,,,,,0.5303512135673621
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.031876850041388405,0.37549045027833533,,,,,,0.8141104844287538
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.4138342474795885,0.5885341719889674,,,,,,0.5215272742395909
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.3598556877778145,-0.15481941381175834,,,,,,-0.5060092909252285
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.005923763013704342,0.0089893572809161,,,,,,0.5366567269218951
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.45840860874487466,0.7364557913828684,,,,,,0.8061489185588461
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.683415389779814,0.12032941844469547,,,,,,0.1449825615206718
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.19234787005865872,0.13183579228963804,,,,,,0.8091697159277315
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.20455242839151544,-0.08550583490942176,,,,,,-0.7092407700739827
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.2734801501703772,-1.1445799455259187,,,,,,-2.1203750157927597
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.016398732809006944,-0.06419928387898244,,,,,,-0.36660085441954293
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.7537548219381082,-0.4096328385656477,,,,,,0.18202699597238042
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.03178230777466462,0.48751706513788506,,,,,,0.2485515517355925
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.05519507384422573,-0.10351266323725006,,,,,,-4.994880047508491
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.6559875044521948,-1.036771579943525,,,,,,-0.3099647431696728
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.3526647276917201,-0.06643783287223387,,,,,,-3.3431246402642563
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.3821226599596532,0.7011826194369324,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.077533831010752,-0.42724240337384867,,,,,,-2.5273483548051394
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.2383574604247074,-0.21075058670670543,,,,,,-7.660751606244495
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.23580643542210988,-0.002015277744634947,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.039647850172241705,0.17364475566581727,,,,,,-0.4862708172042647
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.7129844001463419,0.041698155457823516,,,,,,0.5480703874318242
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.4362837121238847,-0.4255951055713305,,,,,,-1.8590041155723722
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.29600945569088744,0.011956464817708179,,,,,,-0.6398051771834043
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.13204174230834376,0.4279536992552364,,,,,,0.48163217777486067
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.33486505069857986,0.3176566314076277,,,,,,-0.5851026984882374
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.4530952315808344,0.07154508295791784,,,,,,0.19113689893167685
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.6341686792689539,-0.19148900168929306,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.40911815631638326,0.6710688582715857,,,,,,0.7473536759327164
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5645246129693813,-0.07955054243635451,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.710635542970316,-0.3916423169527914,,,,,,-1.6567846555733945
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.324459848964322,0.24825755998073218,,,,,,0.27387476953505674
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.0015734247347756,-0.9194970126916475,,,,,,-0.47581417135681403
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.14522092066395087,0.31389176209553793,,,,,,0.40905069743772116
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.40202694130893346,0.46021538516567917,,,,,,0.5930201579039819
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7235447546458206,0.793796528130009,,,,,,0.7372619433181323
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.384144113138972,-0.1541666968846882,,,,,,-1.1452621644111005
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.3472517338920561,0.2996942755331017,,,,,,-0.6431128091117649
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.4131777560451151,0.529113406364671,,,,,,0.7477364884932347
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.2452888873300385,0.2893298011012156,,,,,,-1.4077763647944723
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.0741574372600948,-0.41184051752206696,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.10727766931294824,-0.19626498589210106,,,,,,-0.6343194418489984
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.09637011380849447,0.046973402516705454,,,,,,0.24535222711407667
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.7431614811258247,0.058088486538327655,,,,,,-1.0755487578638638
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.08753629596166013,0.011228962235963591,,,,,,-2.0299740225943914
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.28008419738617296,0.40595058019868957,,,,,,0.24569445634607778
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5572164048903965,-0.12556907867627887,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.131860092382486,-0.7660764831417919,,,,,,-0.5920506690420941
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.108586116994606,-0.18438638880650826,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.084018728267077,-0.03261574129655087,,,,,,0.537463453834194
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.04282773714163712,0.29973819671611146,,,,,,-0.24982966043922394
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.007832635040400326,0.11193936582311248,,,,,,0.5268143557708855
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5562639798410047,-0.28325663630474485,,,,,,0.39073946911174917
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.9590071929420341,-0.4411499929963243,,,,,,0.34278329409008035
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.171376063492362,-0.0009511654578376882,,,,,,-1.2300887296108935
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.0023153198953766996,0.06193388185935779,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.11796013717889586,0.12526352643177308,,,,,,0.30493846062193386
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.8730131550809412,-0.8971818086375705,,,,,,-2.186157632895706
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.2275644926399114,0.3890300212209389,,,,,,0.008879571296530386
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.016366857091866693,0.36689866855807085,,,,,,0.45994774269339267
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.12417075262783617,0.12445291649756862,,,,,,-0.11601884069153479
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.4147370243316661,-1.5296870749928217,,,,,,-15.27303126658466
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.6680310902941359,-0.46572381961573117,,,,,,0.241739641192261
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.2745989574758778,0.34314526990313077,,,,,,0.677744059335934
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.11853169369109273,-0.06683305089575353,,,,,,-1.1034295312430913
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.6157154247497689,0.5960800325823592,,,,,,0.5836773384356702
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.31694499988700653,-0.11873790025507869,,,,,,0.8381656535145678
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.43316550574846635,0.4653517642340408,,,,,,0.4460503181201926
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.4546249513337164,0.613742826599883,,,,,,0.7120750957262938
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.14164912018409037,0.3119255674382637,,,,,,0.27585585370031707
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.22731621339579777,0.4605908385548829,,,,,,0.724102723420586
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.2885094748382464,0.0725148535262452,,,,,,-4.923687596264591
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.10518427835429534,0.06005132644775324,,,,,,-0.1396530133079974
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.40874035100015393,0.4344057585498792,,,,,,0.6335665470074391
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.1461281116673896,0.16020941758797175,,,,,,0.4850673501203484
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.49949313645157556,0.013262919509894777,,,,,,-0.26419972982878925
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5722887693891989,-0.22474625392356695,,,,,,0.08283184660154719
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.2606238076975127,0.06734512864026909,,,,,,-1.1557459508313284
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.6484757866532167,-0.3274601935765791,,,,,,0.034549085072955954
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.29658303756359894,0.2693754350905717,,,,,,0.15042409457966222
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5240300068432755,-0.41607996757178745,,,,,,0.3610886517523343
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.4681013595012272,0.45909399425782316,,,,,,0.014368524043092412
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.033609886568404024,0.3917763800115633,,,,,,0.5774074019339095
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5409781266356215,-0.06335286088678438,,,,,,-1.3807556275426482
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.12100194796236707,0.4401941586481764,,,,,,-1.9531690273728954
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.028638757225717182,-0.06654520993157198,,,,,,-0.048156590574350844
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.4242041342631848,0.16102271554666747,,,,,,-0.5838039063555516
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.11996003298579683,-0.20797712136736668,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.5076259679166601,0.6241345221999399,,,,,,0.7746180043695922
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.5213013908938215,0.5791301185071768,,,,,,0.8768362991663137
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.06201148000750489,0.16590235003424814,,,,,,-0.5622149684663647
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.2352309189671027,-0.22974593954892675,,,,,,-3.187387452974412
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.3495529659648633,0.12220500741459261,,,,,,0.40707395457237505
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.6768278529819225,0.7229816564555187,,,,,,0.661762096247887
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.1707963996549604,0.23520363066456113,,,,,,0.09238997286576134
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.23043116465132663,-0.24745514573125327,,,,,,0.26906074134616087
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.2266188130293436,-0.3211203479755925,,,,,,-7.538270823322415
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.33254625886619316,-0.03196547617726586,,,,,,-1.2155152650164214
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-1.060582412177245,-1.1633600308050367,,,,,,-2.0715692284532374
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.7382127540353633,-0.35832466967596144,,,,,,-2.7232074051532247
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.11318223594770349,0.25736524561951724,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.028359030829187115,0.01629425535305007,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.06925367131584093,0.001011212569060005,,,,,,-0.6141855930195288
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.8764178551333925,-0.39639981529364765,,,,,,-1.7641186070467052
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.0930323998019913,0.2127761530887602,,,,,,0.2914250745420617
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.4341714184405365,-0.20546951464569263,,,,,,-6.680173510928529
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.09238295870434965,0.07240595960370055,,,,,,-6.151303919254195
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.5506766382965527,0.7379445419325297,,,,,,0.8454443655721221
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.11989367527192307,-0.10391170315008652,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.6462260962268069,-0.5105665506241277,,,,,,0.43697310896675934
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.272318627465272,0.3316409545440131,,,,,,-0.4262997917602589
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.30605558726647153,-0.18526559912489216,,,,,,-1.8992138857723804
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.2593971813232998,0.2888209476576207,,,,,,0.5483817584877458
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.35007917473018413,0.24507283367273525,,,,,,-0.3433559050356709
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.4703477362167878,0.5345676768122252,,,,,,0.7804848544121645
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.40820719082242973,0.49476229807417677,,,,,,0.8683826808274017
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.01586736958578311,-0.012238911518100803,,,,,,-1.4680630137922128
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.3465109399552948,-0.26710460633460276,,,,,,0.05341520316495174
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.5272135824934936,-0.36405204750703835,,,,,,-0.12843065481526317
0.025,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,-0.46141784441345557,0.13650065499578257,,,,,,0.5339371148810237
