alpha,dgp,statistic,n,B,repetitions,true_value,exact,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4998478156245665,,,,,,,,,-2.421725207738565,-1.848314719432188,,,,,,-4.3769622880731465
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4997518002432884,,,,,,,,,-1.5106500510964866,-1.5567723257809958,,,,,,-2.2316237104963665
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.975224446247288,,,,,,,,,-1.27564089547832,-1.0615673465767712,,,,,,-0.8636675425558791
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8610988851190172,,,,,,,,,-0.4598575411722932,-0.25156828506900014,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.11534441222497516,,,,,,,,,0.022457585284132886,0.12204462946671707,,,,,,0.3751572604368738
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0235323874830051,,,,,,,,,-1.9837591065516849,-1.2008747185161124,,,,,,-1.4585299773837836
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.6500859096603667,,,,,,,,,-0.44818743032085495,-0.18051195360149222,,,,,,-0.0572861335610525
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.3833575698292985,,,,,,,,,-0.5261561171136292,-0.5959523824194705,,,,,,-1.9263254977801954
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.3442770088247629,,,,,,,,,-2.0103807114117633,-1.5863818688336915,,,,,,-1.0231344380501406
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.018926677260767022,,,,,,,,,-0.040813942388407076,0.5080362001787005,,,,,,0.6040827750401064
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7904680857328861,,,,,,,,,-1.476066491898345,-0.6113682294128249,,,,,,-0.6490655520960582
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2811595263488393,,,,,,,,,-2.027284592277064,-2.002568241904039,,,,,,-2.159159905994245
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9798560425874194,,,,,,,,,-0.6863557753503556,-0.6164609387661829,,,,,,-1.8190905722548474
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8937377225711548,,,,,,,,,-0.6804654848607219,-0.5407391343090033,,,,,,-1.0660719391714994
0.025,DGPNorm_0_1,mean,4,10,1000,0,-2.2634521860753676,,,,,,,,,-2.6124156540732564,-2.3854119278640233,,,,,,-2.7053760620595373
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.391669766482305,,,,,,,,,-0.43067450605708,-0.4454305539806463,,,,,,-1.6745344352167881
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.35286395208903,,,,,,,,,-1.1815351162891108,-1.0673563323454316,,,,,,-0.7073608269455266
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.5045912234243912,,,,,,,,,-1.9564907210975915,-1.3060777680930569,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.38767168353512294,,,,,,,,,-1.3078385394903305,-1.1697233282565638,,,,,,0.11043071121547765
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.1798018445481215,,,,,,,,,-1.6503417806005443,-1.265743700575303,,,,,,-1.3369401539446897
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7178661631635105,,,,,,,,,-1.512932642907768,-0.7893524709588232,,,,,,0.06796048951057376
0.025,DGPNorm_0_1,mean,4,10,1000,0,0.059348273054032674,,,,,,,,,0.005981775415081048,0.39014943150683395,,,,,,0.3876162987553794
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.4155712034761594,,,,,,,,,-1.3043957362764766,-0.6532394410830183,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.06686319108501648,,,,,,,,,0.038644233236257874,0.4591701330033492,,,,,,-0.0027457684094196466
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2616606163242392,,,,,,,,,-2.1314238219081982,-1.2180108684832434,,,,,,-1.2700002251823066
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.3130134567292542,,,,,,,,,-0.43584301078424814,-0.5147563767003246,,,,,,-2.271860833359795
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9884820291848344,,,,,,,,,-0.9947759250670162,-0.6217585515769574,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.19756679665765475,,,,,,,,,0.29034441787429227,0.5299449536088188,,,,,,0.5748613132454203
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8234589976026326,,,,,,,,,-1.6911453065146294,-1.1576597304793421,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.283963334493804,,,,,,,,,-1.560200336056947,-1.6245857359107823,,,,,,-8.732949692514678
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0859499022143142,,,,,,,,,-0.6431826785647103,-0.5938673987514314,,,,,,-1.0825903011216282
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.855474643153294,,,,,,,,,-1.4437669972079248,-1.1353757968793785,,,,,,-0.9801441260228088
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8579417570550836,,,,,,,,,-0.06237473515463898,-0.032843327931934556,,,,,,-0.027408280541107596
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2132819322331518,,,,,,,,,-2.111821046163105,-1.4555057500874216,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.5089686777639897,,,,,,,,,-1.6749381233426401,-1.6766182632611233,,,,,,-1.4952599048367228
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.5325753073165602,,,,,,,,,-2.0910291379565775,-2.2226211904329563,,,,,,-11.820355514575605
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.8520001718546713,,,,,,,,,-3.4652780714939224,-3.2953156842978863,,,,,,-11.448660453171474
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.1362960686405024,,,,,,,,,-1.4769260557848685,-1.3309716601793327,,,,,,-0.5480026914112045
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.17020522461739973,,,,,,,,,-0.956276778978296,-0.16516626413990693,,,,,,-0.3740963898455534
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9094157940736891,,,,,,,,,-0.7908846184902389,-0.47256466379527584,,,,,,-0.3812894796234237
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.8679288018848061,,,,,,,,,-2.4228499934217167,-1.9843169187864056,,,,,,-2.755378816506016
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7888636026432504,,,,,,,,,-0.5639401832960337,-0.5028226453031711,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.6448320181933869,,,,,,,,,-1.9798281044531463,-1.533390655247551,,,,,,-2.1393507374440235
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.1750377895559005,,,,,,,,,-0.8504590683958986,-0.6089545734106853,,,,,,-0.41043696828269244
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.3580992431405341,,,,,,,,,-0.06894217438630024,-0.05235975085436144,,,,,,-2.545825870947319
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7890437374264104,,,,,,,,,-1.6129412810024495,-1.1440362218642846,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2288313294857058,,,,,,,,,-1.6858830342150104,-1.4568953416878785,,,,,,-1.451937844782576
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4280122316166568,,,,,,,,,-1.8475162428340217,-1.1890503639659045,,,,,,-0.6855770369278861
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0846911323528063,,,,,,,,,-2.0555583345763404,-1.387433908460524,,,,,,-1.4155933257293651
0.025,DGPNorm_0_1,mean,4,10,1000,0,0.010470298046186932,,,,,,,,,0.5907788707731597,0.674305644925539,,,,,,0.5408215116135491
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7091975649108664,,,,,,,,,-0.7410744149522548,-0.33370711463253105,,,,,,0.10491291951788742
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.985949579798475,,,,,,,,,-0.5721153323188864,-0.3974154078095075,,,,,,-0.46442230555888414
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.5841095639397134,,,,,,,,,-0.9439652517175279,-0.7389289777514717,,,,,,-1.0901188548649419
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.7969763617088437,,,,,,,,,-1.7910525986951393,-1.7879870044279276,,,,,,-1.2603196347869485
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9279660614969527,,,,,,,,,-0.46955745275207805,-0.19151027011408425,,,,,,-0.12181714293810661
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8573069543815087,,,,,,,,,-1.5407223441613227,-0.7369775359368133,,,,,,-0.7123243928608369
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2141786254146996,,,,,,,,,-1.4065264954733583,-1.0823428331250615,,,,,,-0.4050089094869681
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7856562184258997,,,,,,,,,-0.9902086468174152,-0.8711620533353215,,,,,,-1.4948969884998824
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9319029524064796,,,,,,,,,-2.2053831025768567,-2.076482897932398,,,,,,-3.052277968199239
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.5870083725092463,,,,,,,,,-1.6034071053182533,-1.6512076563882288,,,,,,-1.9536092269287892
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.6001468761008651,,,,,,,,,-1.3539016980389733,-1.0097797146665128,,,,,,-0.4181198801284847
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.6114951824260508,,,,,,,,,-1.5797128746513862,-1.1239781172881658,,,,,,-1.3629436306904583
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4782502649355156,,,,,,,,,-1.5334453387797413,-1.5817629281727656,,,,,,-6.473130312444006
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.965859864260636,,,,,,,,,-2.6218473687128308,-2.002631444204161,,,,,,-1.2758246074303088
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.26942097037762924,,,,,,,,,-0.6220856980693493,-0.3358588032498631,,,,,,-3.6125456106418854
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.462960272083537,,,,,,,,,-1.0808376121238839,-0.7617776526466047,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.7726047510277998,,,,,,,,,-2.850138582038552,-2.1998471544016485,,,,,,-4.299953105832939
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.07016841942916408,,,,,,,,,-0.3085258798538715,-0.2809190061358695,,,,,,-7.730920025673659
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0826206844818247,,,,,,,,,-1.3184271199039346,-1.0846359622264596,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8796169182740268,,,,,,,,,-0.9192647684462685,-0.7059721626082095,,,,,,-1.3658877354782915
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.6688296695596558,,,,,,,,,-2.3818140697059977,-1.6271315141018323,,,,,,-1.1207592821278316
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4921208629065834,,,,,,,,,-1.9284045750304681,-1.917715968477914,,,,,,-3.3511249784789556
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2678726798231286,,,,,,,,,-1.563882135514016,-1.2559162150054204,,,,,,-1.907677857006533
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.5078077904853748,,,,,,,,,-1.375766048177031,-1.0798540912301384,,,,,,-1.0261756127105142
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.31898726319602855,,,,,,,,,0.01587778750255131,-0.0013306317884008907,,,,,,-0.9040899616842659
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7232380685543344,,,,,,,,,-1.1763333001351688,-0.6516929855964165,,,,,,-0.5321011696226575
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8693153298136121,,,,,,,,,-1.503484009082566,-1.0608043315029052,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.5004452042184413,,,,,,,,,-1.091327047902058,-0.8293763459468556,,,,,,-0.7530915282857249
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.9295825981373473,,,,,,,,,-2.4941072111067286,-2.009133140573702,,,,,,
