CI,dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.811723835837576,2.811575904893123,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4644175216034128,1.661004768699908,,,,,,1.9681815185954326
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8926048193062956,2.259121889578413,,,,,,1.5738172222185085
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8548774638021592,0.8925025551077974,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.244495050854582,1.4518460693002608,,,,,,0.904759195252645
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.868441150222144,3.108714337627065,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.149698594186234,1.0072894887651096,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6594934505484715,1.837886962616369,,,,,,3.0081222901888243
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.4334434874667483,2.4722880353802106,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.480669889685819,1.5369662143212168,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.4622754727842486,2.578973738631883,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.5517922873679666,3.015085235765085,,,,,,2.746277900821642
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.0142227510635229,1.1912122125048867,,,,,,2.535533959002854
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.132877203030661,1.2954330419551208,,,,,,1.7500895234504732
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9644041635056646,2.3270494354558613,,,,,,2.40250990093475
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.5059860361943418,1.7067713920393233,,,,,,2.8232324456052105
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.1949100286739414,1.4334420877748522,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.1166429541236367,2.3029295372058414,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.8091940126362727,3.15738769779162,,,,,,2.8536485018857305
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.144211511065194,2.5120094192443414,,,,,,2.021737004069983
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.6241749280622724,2.793014773601066,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.5272265744755902,1.7065951383297726,,,,,,1.434130218740635
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.762839812000122,3.0338126939324397,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2922575960114848,1.3861560483749624,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.7346487751771056,2.9260229190673734,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6299600074121683,1.7082576553418685,,,,,,3.386458113884424
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4576078415081692,1.6160846594518101,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7266957540302789,0.7801941068776457,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.7315771175799033,2.529983709161127,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.856844261196749,2.028371235017372,,,,,,8.807640987635914
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7934621389129575,0.8927693274658858,,,,,,1.1591911628713278
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.3183632222351607,2.4389905787965844,,,,,,3.9203748402141554
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.27168356647930314,0.30138289137428315,,,,,,0.22455759687293336
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.7772073379985582,2.874174547759029,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6937623993799549,1.9299571415765553,,,,,,1.857828178371507
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.274233088862081,2.2904266331895857,,,,,,11.776117227287722
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.8342810243196714,4.111555023468836,,,,,,12.25036997866565
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9520792365507393,2.3460722538844547,,,,,,1.838392177881325
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.610871747763001,2.85999738499481,,,,,,1.2112307272289842
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2729959230315093,1.3908798261077382,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.269008439082571,2.625000509876944,,,,,,4.54908458607703
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.1156455125598979,1.1386606161847683,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9437468940285,2.0330179422145425,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.9682588038000777,1.0820584367765778,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.0206461898392891,1.1037316186917236,,,,,,3.964712817126374
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.6668150639197044,3.0891937019034117,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.124262888307117,2.536978716603552,,,,,,2.5979332843268366
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.0687311617699424,2.2267957493094066,,,,,,2.1308147810105718
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.884178052958683,3.273180391882576,,,,,,3.1715039154489864
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.5900432902401394,0.6929942147726055,,,,,,0.7328074572287697
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4954441366704911,1.5770760437926254,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8362529995571402,0.8143175987004074,,,,,,0.5786917625594339
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9805133759133273,2.24476586924498,,,,,,2.041683967235339
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4395383509676891,1.6829249467582876,,,,,,0.7405018437140027
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7703290769714288,0.8047916016088571,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.4590468678390405,2.646978450056224,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7327751673477008,1.689626085849339,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7508252826132815,2.0616178134520147,,,,,,1.932855315414297
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.3317320276561935,3.9116293010578556,,,,,,4.140803537481307
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4725525421925074,1.6660416634340427,,,,,,1.5973396264455164
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.563076429871992,2.7933339676467597,,,,,,2.5106210017131034
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4012944669363487,1.4787358840801381,,,,,,2.4840388118808505
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.529930974780535,1.6664063714727142,,,,,,6.0768494715960735
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.8974470372794032,3.787389913358895,,,,,,2.533955674325711
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.969878197246128,2.086637610762382,,,,,,4.969257551152822
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.883153329284631,0.9244270265100333,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.0419342692911355,3.401000858859441,,,,,,8.4642011185719
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8008217436169573,1.9133098164585616,,,,,,9.590793257646688
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7970488667879532,1.7359609248573762,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.5069371742934192,1.6494990467051491,,,,,,2.0072527081321674
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.502778400832586,2.717940988880504,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.0935477530159567,2.3442235906591136,,,,,,3.3172793015141098
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8860870298701853,2.2266309836060802,,,,,,3.8964828868876342
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2530142669947548,1.3858606405340324,,,,,,1.3140115606294436
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.9530456818855201,1.067027037140973,,,,,,2.26586289853457
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.1184114027861054,1.934043793975878,,,,,,1.3063295475108405
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.3862127040021885,2.2455459797268693,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8432279335758226,0.9116257998415074,,,,,,0.9610946837262765
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.2832115637735626,2.400763742121037,,,,,,
