dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009980201721191406,0.011968374252319336,,,,,,0.9197406768798828
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.011968135833740234,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.009973287582397461,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009975433349609375,,,,,,0.0019941329956054688
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.011967658996582031,,,,,,0.0010342597961425781
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.022938013076782227,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.001001119613647461,0.009962797164916992,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010576486587524414,,,,,,0.0009710788726806641
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010043859481811523,,,,,,0.000997781753540039
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997781753540039,0.023985862731933594,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010482072830200195,,,,,,0.0010223388671875
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010532617568969727,,,,,,0.0009722709655761719
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.012555360794067383,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009485483169555664,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.009485721588134766,,,,,,0.0009982585906982422
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009980201721191406,0.009485006332397461,,,,,,0.0009965896606445312
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009968280792236328,0.009486913681030273,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010508298873901367,,,,,,0.0010039806365966797
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.011056661605834961,,,,,,0.0009961128234863281
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997781753540039,0.014467954635620117,,,,,,0.0009980201721191406
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.01706409454345703,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009925365447998047,0.011485815048217773,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009992122650146484,0.011008977890014648,,,,,,0.0009932518005371094
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010934829711914062,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010970354080200195,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008975982666015625,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.009972572326660156,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010480880737304688,,,,,,0.0009982585906982422
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00948333740234375,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009970664978027344,0.009485006332397461,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997781753540039,0.009973526000976562,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010046958923339844,,,,,,0.0009779930114746094
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00997471809387207,,,,,,0.0009965896606445312
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010002851486206055,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008976221084594727,,,,,,0.0010037422180175781
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.011994600296020508,,,,,,0.000997781753540039
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009534835815429688,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.01150822639465332,,,,,,0.0009975433349609375
